cast,genres,movie_id,original_title,plot
"['Taylor Kitsch', 'Alexander Skarsgård', 'Riha...","['Thriller', 'Action', 'Adventure']",44833,Battleship,"When mankind beams a radio signal into space, ..."
"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan...","['Action', 'Adventure', 'Science Fiction']",135397,Jurassic World,Twenty-two years after the events of Jurassic ...
"['Daniel Craig', 'Judi Dench', 'Javier Bardem']","['Action', 'Adventure', 'Thriller']",37724,Skyfall,When Bond's latest assignment goes gravely wro...
"['Tobey Maguire', 'Kirsten Dunst', 'James Fran...","['Action', 'Adventure', 'Fantasy']",558,Spider-Man 2,Peter Parker is going through a major identity...
"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don ...","['Action', 'Adventure', 'Science Fiction']",68721,Iron Man 3,When Tony Stark's world is torn apart by a for...
"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaw...","['Family', 'Fantasy', 'Adventure']",12155,Alice in Wonderland,"Alice, an unpretentious and individual 19-year..."
"['Hugh Jackman', 'Halle Berry', 'Ian McKellen']","['Adventure', 'Action', 'Science Fiction']",36668,X-Men: The Last Stand,"When a cure is found to treat mutations, lines..."
"['Billy Crystal', 'John Goodman', 'Steve Busce...","['Animation', 'Family']",62211,Monsters University,A look at the relationship between Mike and Su...
"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']","['Science Fiction', 'Action', 'Adventure']",8373,Transformers: Revenge of the Fallen,Sam Witwicky leaves the Autobots behind for a ...
"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Gra...","['Science Fiction', 'Action', 'Adventure']",91314,Transformers: Age of Extinction,"As humanity picks up the pieces, following the..."
"['James Franco', 'Mila Kunis', 'Rachel Weisz']","['Fantasy', 'Adventure', 'Family']",68728,Oz: The Great and Powerful,"Oscar Diggs, a small-time circus illusionist a..."
"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']","['Action', 'Adventure', 'Fantasy']",102382,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking..."
"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wi...","['Adventure', 'Action', 'Science Fiction']",20526,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Ke..."
"['Owen Wilson', 'Larry the Cable Guy', 'Michae...","['Animation', 'Family', 'Adventure']",49013,Cars 2,Star race car Lightning McQueen and his pal Ma...
"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsg...","['Adventure', 'Action', 'Thriller']",44912,Green Lantern,"For centuries, a small but powerful force of w..."
"['Tom Hanks', 'Tim Allen', 'Ned Beatty']","['Animation', 'Family', 'Comedy']",10193,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven..."
"['Christian Bale', 'Sam Worthington', 'Anton Y...","['Action', 'Science Fiction', 'Thriller']",534,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Co..."
"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",['Action'],168259,Furious 7,Deckard Shaw seeks revenge against Dominic Tor...
"['Brad Pitt', 'Mireille Enos', 'Abigail Hargro...","['Action', 'Drama', 'Horror']",72190,World War Z,Life for former United Nations investigator Ge...
"['Hugh Jackman', 'James McAvoy', 'Michael Fass...","['Action', 'Adventure', 'Fantasy']",127585,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for t...
"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']","['Action', 'Adventure', 'Science Fiction']",54138,Star Trek Into Darkness,When the crew of the Enterprise is called back...
"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan ...","['Action', 'Family', 'Fantasy']",81005,Jack the Giant Slayer,The story of an ancient war that is reignited ...
"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey ...","['Drama', 'Romance']",64682,The Great Gatsby,An adaptation of F. Scott Fitzgerald's Long Is...
"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kin...","['Adventure', 'Fantasy', 'Action']",9543,Prince of Persia: The Sands of Time,A rogue prince reluctantly joins forces with a...
"['Idris Elba', 'Charlie Hunnam', 'Charlie Day']","['Action', 'Science Fiction', 'Adventure']",68726,Pacific Rim,"When legions of monstrous creatures, known as ..."
"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong']","['Action', 'Science Fiction', 'Adventure']",38356,Transformers: Dark of the Moon,Sam Witwicky takes his first tenuous steps int...
"['Harrison Ford', 'Cate Blanchett', 'Shia LaBe...","['Adventure', 'Action']",217,Indiana Jones and the Kingdom of the Crystal S...,"Set during the Cold War, the Soviets – led by ..."
"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wrig...","['Adventure', 'Animation', 'Family']",105864,The Good Dinosaur,An epic journey into the world of dinosaurs wh...
"['Kelly Macdonald', 'Julie Walters', 'Billy Co...","['Animation', 'Adventure', 'Comedy']",62177,Brave,Brave is set in the mystical Scottish Highland...
"['Chris Pine', 'Zachary Quinto', 'Karl Urban']","['Action', 'Adventure', 'Science Fiction']",188927,Star Trek Beyond,The USS Enterprise crew explores the furthest ...
"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']","['Animation', 'Family']",10681,WALL·E,WALL·E is the last robot left on an Earth that...
"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sana...","['Action', 'Comedy', 'Crime']",5174,Rush Hour 3,After an attempted assassination on Ambassador...
"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiof...","['Action', 'Adventure', 'Science Fiction']",14161,2012,"Dr. Adrian Helmsley, part of a worldwide geoph..."
"['Gary Oldman', 'Jim Carrey', 'Steve Valentine']","['Animation', 'Drama']",17979,A Christmas Carol,Miser Ebenezer Scrooge is awakened on Christma...
"['Mila Kunis', 'Channing Tatum', 'Sean Bean']","['Science Fiction', 'Fantasy', 'Action']",76757,Jupiter Ascending,In a universe where human genetic material is ...
"['Alexander Skarsgård', 'Margot Robbie', 'Chri...","['Action', 'Adventure']",258489,The Legend of Tarzan,"Tarzan, having acclimated to life in London, i..."
"['William Moseley', 'Anna Popplewell', 'Skanda...","['Adventure', 'Family', 'Fantasy']",411,"The Chronicles of Narnia: The Lion, the Witch ...","Siblings Lucy, Edmund, Susan and Peter step th..."
"['James McAvoy', 'Michael Fassbender', 'Jennif...",['Science Fiction'],246655,X-Men: Apocalypse,After the re-emergence of the world's first mu...
"['Christian Bale', 'Heath Ledger', 'Aaron Eckh...","['Drama', 'Action', 'Crime']",155,The Dark Knight,Batman raises the stakes in his war on crime. ...
"['Ed Asner', 'Christopher Plummer', 'Jordan Na...","['Animation', 'Comedy', 'Family']",14160,Up,Carl Fredricksen spent his entire life dreamin...
"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laur...","['Animation', 'Family', 'Adventure']",15512,Monsters vs Aliens,When Susan Murphy is unwittingly clobbered by ...
"['Robert Downey Jr.', 'Terrence Howard', 'Jeff...","['Action', 'Science Fiction', 'Adventure']",1726,Iron Man,"After being held captive in an Afghan cave, bi..."
"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa But...","['Adventure', 'Drama', 'Family']",44826,Hugo,Hugo is an orphan boy living in the walls of a...
"['Will Smith', 'Kevin Kline', 'Kenneth Branagh']","['Action', 'Adventure', 'Comedy']",8487,Wild Wild West,Legless Southern inventor Dr. Arliss Loveless ...
"['Brendan Fraser', 'Jet Li', 'John Hannah']","['Adventure', 'Action', 'Fantasy']",1735,The Mummy: Tomb of the Dragon Emperor,"Archaeologist Rick O'Connell travels to China,..."
"['Will Smith', 'Margot Robbie', 'Joel Kinnaman']","['Action', 'Adventure', 'Crime']",297761,Suicide Squad,"From DC Comics comes the Suicide Squad, an ant..."
"['Steve Carell', 'Lauren Graham', 'John Goodman']","['Fantasy', 'Comedy', 'Family']",2698,Evan Almighty,God contacts Congressman Evan Baxter and tells...
"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson']","['Action', 'Science Fiction']",137113,Edge of Tomorrow,Major Bill Cage is an officer who has never se...
"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']","['Adventure', 'Action']",9804,Waterworld,In a futuristic world where the polar ice caps...
"['Dennis Quaid', 'Channing Tatum', 'Marlon Way...","['Adventure', 'Action', 'Thriller']",14869,G.I. Joe: The Rise of Cobra,From the Egyptian desert to deep below the pol...
"['Amy Poehler', 'Phyllis Smith', 'Richard Kind']","['Drama', 'Comedy', 'Animation']",150540,Inside Out,"Growing up can be a bumpy road, and it's no ex..."
"['Neel Sethi', 'Bill Murray', 'Ben Kingsley']","['Family', 'Adventure', 'Drama']",278927,The Jungle Book,After a threat from the tiger Shere Khan force...
"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don ...","['Adventure', 'Action', 'Science Fiction']",10138,Iron Man 2,With the world now aware of his dual life as t...
"['Kristen Stewart', 'Charlize Theron', 'Chris ...","['Adventure', 'Fantasy', 'Drama']",58595,Snow White and the Huntsman,"After the Evil Queen marries the King, she per..."
"['Angelina Jolie', 'Elle Fanning', 'Sharlto Co...","['Fantasy', 'Adventure', 'Action']",102651,Maleficent,The untold story of Disney's most iconic villa...
"['Andy Serkis', 'Jason Clarke', 'Gary Oldman']","['Science Fiction', 'Action', 'Drama']",119450,Dawn of the Planet of the Apes,A group of scientists in San Francisco struggl...
"['Josh Hartnett', 'Simone Kessell', 'Tamsin Eg...","['Action', 'Adventure', 'Science Fiction']",79698,The Lovers,The Lovers is an epic romance time travel adve...
"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shiba...","['Drama', 'Action', 'Adventure']",64686,47 Ronin,"Based on the original 1941 movie from Japan, a..."
"['Chris Evans', 'Samuel L. Jackson', 'Scarlett...","['Action', 'Adventure', 'Science Fiction']",100402,Captain America: The Winter Soldier,After the cataclysmic events in New York with ...
"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']","['Comedy', 'Adventure', 'Fantasy']",10192,Shrek Forever After,A bored and domesticated Shrek pacts with deal...
"['Britt Robertson', 'George Clooney', 'Raffey ...","['Adventure', 'Family', 'Mystery']",158852,Tomorrowland,"Bound by a shared destiny, a bright, optimisti..."
"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']","['Adventure', 'Family', 'Animation']",177572,Big Hero 6,The special bond that develops between plus-si...
"['John C. Reilly', 'Sarah Silverman', 'Jack Mc...","['Family', 'Animation', 'Comedy']",82690,Wreck-It Ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound v..."
"['Tom Hanks', 'Michael Jeter', 'Nona Gaye']","['Adventure', 'Animation', 'Family']",5255,The Polar Express,When a doubting young boy takes an extraordina...
"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pull...","['Action', 'Adventure', 'Science Fiction']",47933,Independence Day: Resurgence,We always knew they were coming back. Using re...
"['Jay Baruchel', 'Gerard Butler', 'Craig Fergu...","['Fantasy', 'Adventure', 'Animation']",10191,How to Train Your Dragon,As the son of a Viking leader on the cusp of m...
"['Arnold Schwarzenegger', 'Nick Stahl', 'Clair...","['Action', 'Thriller', 'Science Fiction']",296,Terminator 3: Rise of the Machines,It's been 10 years since John Connor saved Ear...
"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista']","['Action', 'Science Fiction', 'Adventure']",118340,Guardians of the Galaxy,"Light years from Earth, 26 years after being a..."
"['Matthew McConaughey', 'Jessica Chastain', 'A...","['Adventure', 'Drama', 'Science Fiction']",157336,Interstellar,Interstellar chronicles the adventures of a gr...
"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', ...","['Action', 'Thriller', 'Science Fiction']",27205,Inception,"Cobb, a skilled thief who commits corporate es..."
"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Sato...","['Action', 'Adventure', 'Drama']",315011,シン・ゴジラ,From the mind behind Evangelion comes a hit la...
"['Ian McKellen', 'Martin Freeman', 'Richard Ar...","['Adventure', 'Fantasy', 'Action']",49051,The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet lif..."
"['Paul Walker', 'Vin Diesel', 'Michelle Rodrig...","['Action', 'Crime', 'Thriller']",9799,The Fast and the Furious,Domenic Toretto is a Los Angeles street racer ...
"['Cate Blanchett', 'Brad Pitt', 'Tilda Swinton']","['Fantasy', 'Drama', 'Thriller']",4922,The Curious Case of Benjamin Button,"Tells the story of Benjamin Button, a man who ..."
"['James McAvoy', 'Michael Fassbender', 'Jennif...","['Action', 'Science Fiction', 'Adventure']",49538,X-Men: First Class,Before Charles Xavier and Erik Lensherr took t...
"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam...","['Action', 'Adventure', 'Science Fiction']",131634,The Hunger Games: Mockingjay - Part 2,"With the nation of Panem in a full scale war, ..."
"['Nicolas Cage', 'Jay Baruchel', 'Monica Bellu...","['Fantasy', 'Adventure', 'Action']",27022,The Sorcerer's Apprentice,Balthazar Blake is a master sorcerer in modern...
"['Kurt Russell', 'Richard Dreyfuss', 'Josh Luc...","['Adventure', 'Action', 'Drama']",503,Poseidon,A packed cruise ship traveling the Atlantic is...
"['Johnny Depp', 'Mia Wasikowska', 'Anne Hathaw...",['Fantasy'],241259,Alice Through the Looking Glass,"In the sequel to Tim Burton's ""Alice in Wonder..."
"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']","['Fantasy', 'Adventure', 'Animation']",810,Shrek the Third,The King of Far Far Away has died and Shrek an...
"['Paula Patton', 'Travis Fimmel', 'Ben Foster']","['Action', 'Adventure', 'Fantasy']",68735,Warcraft,The peaceful realm of Azeroth stands on the br...
"['Arnold Schwarzenegger', 'Jason Clarke', 'Emi...","['Science Fiction', 'Action', 'Thriller']",87101,Terminator Genisys,"The year is 2029. John Connor, leader of the r..."
"['Skandar Keynes', 'Georgie Henley', 'Simon Pe...","['Adventure', 'Family', 'Fantasy']",10140,The Chronicles of Narnia: The Voyage of the Da...,"This time around Edmund and Lucy Pevensie, alo..."
"['Ben Affleck', 'Josh Hartnett', 'Kate Beckins...","['History', 'Romance', 'War']",676,Pearl Harbor,The lifelong friendship between Rafe McCawley ...
"['Shia LaBeouf', 'Josh Duhamel', 'Megan Fox']","['Adventure', 'Science Fiction', 'Action']",1858,Transformers,"Young teenager, Sam Witwicky becomes involved ..."
"['Colin Farrell', 'Angelina Jolie', 'Val Kilmer']","['War', 'History', 'Action']",1966,Alexander,"Alexander, the King of Macedonia, leads his le..."
"['Daniel Radcliffe', 'Rupert Grint', 'Emma Wat...","['Adventure', 'Fantasy', 'Family']",675,Harry Potter and the Order of the Phoenix,Returning for his fifth year of study at Hogwa...
"['Daniel Radcliffe', 'Rupert Grint', 'Emma Wat...","['Adventure', 'Fantasy', 'Family']",674,Harry Potter and the Goblet of Fire,"Harry starts his fourth year at Hogwarts, comp..."
"['Will Smith', 'Charlize Theron', 'Jason Batem...","['Fantasy', 'Action']",8960,Hancock,Hancock is a down-and-out superhero who's forc...
"['Will Smith', 'Alice Braga', 'Charlie Tahan']","['Drama', 'Horror', 'Action']",6479,I Am Legend,Robert Neville is a scientist who was unable t...
"['Johnny Depp', 'Freddie Highmore', 'David Kel...","['Adventure', 'Comedy', 'Family']",118,Charlie and the Chocolate Factory,A young boy wins a tour through the most magni...
"['Patton Oswalt', 'Ian Holm', 'Lou Romano']","['Animation', 'Comedy', 'Family']",2062,Ratatouille,A rat named Remy dreams of becoming a great Fr...
"['Christian Bale', 'Michael Caine', 'Liam Nees...","['Action', 'Crime', 'Drama']",272,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne ded..."
"['Ben Stiller', 'Jada Pinkett Smith', 'David S...","['Family', 'Animation']",10527,Madagascar: Escape 2 Africa,"Alex, Marty, Melman, Gloria, King Julien, Maur..."
"['Ben Stiller', 'Amy Adams', 'Owen Wilson']","['Adventure', 'Fantasy', 'Action']",18360,Night at the Museum: Battle of the Smithsonian,Hapless museum night watchman Larry Daley must...
"['Hugh Jackman', 'Liev Schreiber', 'Danny Hust...","['Adventure', 'Action', 'Thriller']",2080,X-Men Origins: Wolverine,"After seeking to live a normal life, Logan set..."
"['Keanu Reeves', 'Laurence Fishburne', 'Carrie...","['Adventure', 'Action', 'Thriller']",605,The Matrix Revolutions,The human city of Zion defends itself against ...
"['Kristen Bell', 'Idina Menzel', 'Jonathan Gro...","['Animation', 'Adventure', 'Family']",109445,Frozen,Young princess Anna of Arendelle dreams about ...
"['Keanu Reeves', 'Carrie-Anne Moss', 'Laurence...","['Adventure', 'Action', 'Thriller']",604,The Matrix Reloaded,Six months after the events depicted in The Ma...
"['Chris Hemsworth', 'Natalie Portman', 'Tom Hi...","['Action', 'Adventure', 'Fantasy']",76338,Thor: The Dark World,Thor fights to restore order across the cosmos...
"['Tom Hardy', 'Charlize Theron', 'Nicholas Hou...","['Action', 'Adventure', 'Science Fiction']",76341,Mad Max: Fury Road,An apocalyptic story set in the furthest reach...
"['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer']","['Thriller', 'Mystery']",13448,Angels & Demons,Harvard symbologist Robert Langdon investigate...
"['Chris Hemsworth', 'Natalie Portman', 'Tom Hi...","['Adventure', 'Fantasy', 'Action']",10195,Thor,"Against his father Odin's will, The Mighty Tho..."
"['John Travolta', 'Miley Cyrus', 'Susie Essman']","['Animation', 'Family', 'Adventure']",13053,Bolt,Bolt is the star of the biggest show in Hollyw...
"['Sam Rockwell', 'Penélope Cruz', 'Tracy Morgan']","['Fantasy', 'Action', 'Adventure']",19585,G-Force,"A team of trained secret agent animals, guinea..."
"['Sam Worthington', 'Liam Neeson', 'Ralph Fien...",['Adventure'],57165,Wrath of the Titans,A decade after his heroic defeat of the monstr...
"['Johnny Depp', 'Michelle Pfeiffer', 'Helena B...","['Comedy', 'Fantasy']",62213,Dark Shadows,Vampire Barnabas Collins is inadvertently free...
"['Tom Cruise', 'Rebecca Ferguson', 'Simon Pegg']","['Action', 'Adventure', 'Thriller']",177677,Mission: Impossible - Rogue Nation,Ethan and team take on their most impossible m...
"['Benicio del Toro', 'Anthony Hopkins', 'Emily...","['Drama', 'Horror', 'Thriller']",7978,The Wolfman,"Lawrence Talbot, an American man on a visit to..."
"['Jerry Seinfeld', 'Renée Zellweger', 'Jim Cum...","['Family', 'Animation', 'Adventure']",5559,Bee Movie,"Barry B. Benson, a bee who has just graduated ..."
"['Jack Black', 'Angelina Jolie', 'Dustin Hoffm...","['Animation', 'Family']",49444,Kung Fu Panda 2,Po is now living his dream as The Dragon Warri...
"['Noah Ringer', 'Nicola Peltz', 'Jackson Rathb...","['Action', 'Adventure', 'Family']",10196,The Last Airbender,"The story follows the adventures of Aang, a yo..."
"['Tom Cruise', 'Philip Seymour Hoffman', 'Ving...","['Adventure', 'Action', 'Thriller']",956,Mission: Impossible III,Retired from active duty to train new IMF agen...
"['Channing Tatum', 'Jamie Foxx', 'Joey King']","['Action', 'Drama', 'Thriller']",117251,White House Down,Capitol Policeman John Cale has just been deni...
"['Seth Green', 'Joan Cusack', 'Dan Fogler']","['Adventure', 'Animation', 'Family']",50321,Mars Needs Moms,"When Martians suddenly abduct his mom, mischie..."
"['Hugh Jackman', 'Kate Winslet', 'Ian McKellen']","['Adventure', 'Animation', 'Comedy']",11619,Flushed Away,"London high-society mouse, Roddy is flushed do..."
"['Levi Miller', 'Garrett Hedlund', 'Hugh Jackm...","['Adventure', 'Family', 'Fantasy']",266647,Pan,Living a bleak existence at a London orphanage...
"['Ty Burrell', 'Max Charles', 'Ariel Winter']","['Animation', 'Adventure', 'Family']",82703,Mr. Peabody & Sherman,"A young boy and his dog, who happens to have a..."
"['Brad Pitt', 'Orlando Bloom', 'Eric Bana']","['Adventure', 'Drama', 'War']",652,Troy,"In year 1250 B.C. during the late Bronze age, ..."
"['Ben Stiller', 'Sacha Baron Cohen', 'David Sc...","['Animation', 'Family']",80321,Madagascar 3: Europe's Most Wanted,"Alex, Marty, Gloria and Melman are still tryin..."
"['Pierce Brosnan', 'Halle Berry', 'Rosamund Pi...","['Adventure', 'Action', 'Thriller']",36669,Die Another Day,Bond takes on a North Korean leader who underg...
"['Melissa McCarthy', 'Kristen Wiig', 'Kate McK...","['Action', 'Fantasy', 'Comedy']",43074,Ghostbusters,"Following a ghost invasion of Manhattan, paran..."
"['Bruce Willis', 'Billy Bob Thornton', 'Ben Af...","['Action', 'Thriller', 'Science Fiction']",95,Armageddon,When an asteroid threatens to collide with Ear...
"['Tommy Lee Jones', 'Will Smith', 'Rip Torn']","['Action', 'Adventure', 'Comedy']",608,Men in Black II,"Kay and Jay reunite to provide our best, last ..."
"['Ray Winstone', 'Angelina Jolie', 'Anthony Ho...","['Adventure', 'Action', 'Animation']",2310,Beowulf,"6th-century Scandinavian warrior, Beowulf emba..."
"['Jack Black', 'Bryan Cranston', 'Dustin Hoffm...","['Action', 'Adventure', 'Animation']",140300,Kung Fu Panda 3,"Continuing his ""legendary adventures of awesom..."
"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg']","['Action', 'Thriller', 'Adventure']",56292,Mission: Impossible - Ghost Protocol,In the 4th installment of the Mission Impossib...
"['Chris Pine', 'Alec Baldwin', 'Jude Law']","['Fantasy', 'Animation', 'Family']",81188,Rise of the Guardians,When an evil spirit known as Pitch lays down t...
"['Jim Carrey', 'Téa Leoni', 'Alec Baldwin']",['Comedy'],7552,Fun with Dick and Jane,After Dick Harper loses his job at Globodyne i...
"['Tom Cruise', 'Ken Watanabe', 'William Athert...","['Drama', 'Action', 'War']",616,The Last Samurai,Nathan Algren is an American hired to instruct...
"['Christian Bale', 'Joel Edgerton', 'John Turt...","['Adventure', 'Drama', 'Action']",147441,Exodus: Gods and Kings,The defiant leader Moses rises up against the ...
"['Chris Pine', 'Zachary Quinto', 'Leonard Nimoy']","['Science Fiction', 'Action', 'Adventure']",13475,Star Trek,The fate of the galaxy rests in the hands of b...
"['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dun...","['Fantasy', 'Action']",557,Spider-Man,After being bitten by a genetically altered sp...
"['Jay Baruchel', 'Gerard Butler', 'Kristen Wiig']","['Fantasy', 'Action', 'Adventure']",82702,How to Train Your Dragon 2,The thrilling second chapter of the epic How T...
"['Brenton Thwaites', 'Nikolaj Coster-Waldau', ...",['Fantasy'],205584,Gods of Egypt,A common thief joins a mythical god on a quest...
"['Josh Lucas', 'Jessica Biel', 'Jamie Foxx']",['Action'],10048,Stealth,Deeply ensconced in a top-secret military prog...
"['Malin Åkerman', 'Billy Crudup', 'Carla Gugino']","['Action', 'Mystery', 'Science Fiction']",13183,Watchmen,In a gritty and alternate 1985 the glory days ...
"['Mel Gibson', 'Danny Glover', 'Joe Pesci']","['Action', 'Adventure', 'Comedy']",944,Lethal Weapon 4,In the combustible action franchise's final in...
"['Eric Bana', 'Jennifer Connelly', 'Sam Elliott']","['Drama', 'Action', 'Science Fiction']",1927,Hulk,"Bruce Banner, a genetics researcher with a tra..."
"['Dwayne Johnson', 'D.J. Cotrona', 'Adrianne P...","['Adventure', 'Action', 'Science Fiction']",72559,G.I. Joe: Retaliation,"Framed for crimes against the country, the G.I..."
"['Matthew McConaughey', 'Penélope Cruz', 'Stev...","['Action', 'Adventure', 'Comedy']",7364,Sahara,Scouring the ocean depths for treasure-laden s...
"['Donald Sutherland', 'Ming-Na Wen', 'Alec Bal...","['Adventure', 'Action', 'Animation']",2114,Final Fantasy: The Spirits Within,"Led by a strange dream, scientist Aki Ross str..."
